
Running 45 tests using 8 workers

  ok  5 [e2e-chromium] › tests\e2e\auth.spec.ts:48:7 › Login & Authentication › TC-AUTH-005 | redirects unauthenticated visitors from protected pages to login (988ms)
  ok  2 [e2e-chromium] › tests\e2e\auth.spec.ts:27:7 › Login & Authentication › TC-AUTH-003 | rejects login for an unknown account with the same generic error (1.0s)
  ok  1 [e2e-chromium] › tests\e2e\auth.spec.ts:35:7 › Login & Authentication › TC-AUTH-004 | logs out and invalidates the session (1.2s)
  ok  3 [e2e-chromium] › tests\e2e\multi-tenant.spec.ts:14:7 › Multi-Tenant Access Control › TC-TEN-001 | blocks a Tenant A user from viewing Tenant B data (1.6s)
  ok  6 [e2e-chromium] › tests\e2e\auth.spec.ts:10:7 › Login & Authentication › TC-AUTH-001 | logs in with valid credentials and lands on the dashboard (1.4s)
  ok 10 [e2e-chromium] › tests\e2e\multi-tenant.spec.ts:59:7 › Multi-Tenant Access Control › TC-TEN-005 | redirects unauthenticated access to tenant pages to login (725ms)
  ok  4 [e2e-chromium] › tests\e2e\auth.spec.ts:19:7 › Login & Authentication › TC-AUTH-002 | rejects login with a wrong password (1.9s)
  ok  7 [e2e-chromium] › tests\e2e\multi-tenant.spec.ts:36:7 › Multi-Tenant Access Control › TC-TEN-003 | lets an admin manage users only within their own tenant (1.7s)
  ok  8 [e2e-chromium] › tests\e2e\multi-tenant.spec.ts:25:7 › Multi-Tenant Access Control › TC-TEN-002 | shows a user only teammates from their own tenant (1.9s)
  ok  9 [e2e-chromium] › tests\e2e\multi-tenant.spec.ts:48:7 › Multi-Tenant Access Control › TC-TEN-004 | hides user management from members (role-based access) (1.1s)
  ok 11 [e2e-chromium] › tests\e2e\onboarding.spec.ts:10:7 › User Onboarding › TC-ONB-001 | creates a new user with valid data and shows the onboarding success message (925ms)
  ok 12 [e2e-chromium] › tests\e2e\onboarding.spec.ts:19:7 › User Onboarding › TC-ONB-002 | rejects submission when required fields are missing (718ms)
  ok 14 [e2e-chromium] › tests\e2e\onboarding.spec.ts:37:7 › User Onboarding › TC-ONB-004 | rejects a weak password with a helpful message (773ms)
  ok 13 [e2e-chromium] › tests\e2e\onboarding.spec.ts:28:7 › User Onboarding › TC-ONB-003 | rejects an invalid email format (1.1s)
  ok 17 [e2e-chromium] › tests\e2e\subscription-payment.spec.ts:13:7 › Subscription & Payments › TC-PAY-001 | activates the subscription after a successful payment (1.2s)
  ok 19 [e2e-chromium] › tests\e2e\subscription-payment.spec.ts:36:7 › Subscription & Payments › TC-PAY-003 | shows a clear error when the card is declined (1.5s)
  ok 20 [e2e-chromium] › tests\e2e\subscription-payment.spec.ts:47:7 › Subscription & Payments › TC-PAY-004 | limits user access after a failed payment (1.3s)
  ok 21 [e2e-chromium] › tests\e2e\subscription-payment.spec.ts:64:7 › Subscription & Payments › TC-PAY-005 | shows a retryable error when the payment gateway times out (1.3s)
  ok 16 [e2e-chromium] › tests\e2e\onboarding.spec.ts:63:7 › User Onboarding › TC-ONB-006 | rejects a duplicate email registration (1.9s)
  ok 15 [e2e-chromium] › tests\e2e\onboarding.spec.ts:46:7 › User Onboarding › TC-ONB-005 | redirects to the welcome page after successful onboarding and allows login (2.0s)
  ok 18 [e2e-chromium] › tests\e2e\subscription-payment.spec.ts:24:7 › Subscription & Payments › TC-PAY-002 | reflects the active subscription status on the dashboard (2.2s)
